epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75559,1.94861,10.2031,2.15992,0.03323,1,0.22552,0.16277,0.59289,3.15988,1.12584,0,0,0
2,8.09785,1.29775,4.28312,1.81888,0.03303,1,0.23129,0.16157,0.59497,3.16327,1.12952,1.37241e-05,1.37241e-05,1.37241e-05
3,10.7422,2.07185,6.01221,2.30513,0.03323,1,0.23097,0.15925,0.58512,3.16603,1.13351,2.63165e-05,2.63165e-05,2.63165e-05
4,13.4564,1.45859,8.03399,1.94312,0.03385,1,0.24901,0.15993,0.56898,3.17023,1.12907,3.7777e-05,3.7777e-05,3.7777e-05
5,16.2459,1.91039,4.57451,2.41367,0.03438,1,0.27059,0.17122,0.56484,3.17035,1.12406,4.81059e-05,4.81059e-05,4.81059e-05
6,19.095,0.8401,9.55433,1.79775,0.03537,1,0.24204,0.15477,0.57796,3.16567,1.11943,5.73029e-05,5.73029e-05,5.73029e-05
7,21.871,1.82505,5.06923,2.14465,0.03618,1,0.26402,0.16053,0.58903,3.16321,1.11821,6.53682e-05,6.53682e-05,6.53682e-05
8,24.6196,1.40122,4.18189,1.75213,0.03754,1,0.25568,0.16664,0.60736,3.1602,1.12295,7.23017e-05,7.23017e-05,7.23017e-05
9,27.3561,1.50769,3.89997,1.85982,0.03915,1,0.30353,0.16417,0.62075,3.16099,1.13474,7.81034e-05,7.81034e-05,7.81034e-05
10,30.1836,1.37354,5.09702,1.91738,0.04247,1,0.27022,0.16616,0.61987,3.16413,1.13347,8.27734e-05,8.27734e-05,8.27734e-05
11,32.9773,1.04287,4.90473,1.56526,0.04622,1,0.24217,0.13414,0.66092,3.16962,1.1504,8.63116e-05,8.63116e-05,8.63116e-05
12,35.6887,1.44077,4.36291,2.15344,0.05238,1,0.22333,0.13166,0.67542,3.18146,1.15491,8.8718e-05,8.8718e-05,8.8718e-05
13,38.4374,1.05864,4.61969,1.59402,0.05641,1,0.2645,0.13189,0.6858,3.19797,1.18033,8.99927e-05,8.99927e-05,8.99927e-05
14,41.1779,0.96642,3.86297,1.47638,0.0679,1,0.28125,0.16496,0.65576,3.22387,1.17522,9.01356e-05,9.01356e-05,9.01356e-05
15,44.037,0.85048,4.07782,1.49275,0.05839,0.72727,0.25714,0.12169,0.68264,3.25026,1.18329,8.91467e-05,8.91467e-05,8.91467e-05
16,46.7502,1.31756,7.44379,1.94615,0.06723,0.72727,0.16492,0.10576,0.69747,3.26705,1.20314,8.70261e-05,8.70261e-05,8.70261e-05
17,49.4688,1.00766,6.22641,1.63967,0.07339,0.72727,0.15278,0.09841,0.72264,3.26706,1.25768,8.37737e-05,8.37737e-05,8.37737e-05
18,52.411,1.14192,6.77356,1.70582,0.07339,0.72727,0.15278,0.09841,0.72264,3.26706,1.25768,7.93895e-05,7.93895e-05,7.93895e-05
19,55.1962,0.67847,6.15838,1.41327,0.07,0.63636,0.16591,0.08391,0.73597,3.2776,1.29107,7.38736e-05,7.38736e-05,7.38736e-05
20,57.9295,0.74151,6.65017,1.43041,0.07,0.63636,0.16591,0.08391,0.73597,3.2776,1.29107,6.72259e-05,6.72259e-05,6.72259e-05
21,60.7405,1.12736,5.6067,1.92047,0.07778,0.63636,0.12919,0.07481,0.76728,3.29544,1.31908,5.94464e-05,5.94464e-05,5.94464e-05
22,63.4346,0.90869,5.43723,1.76681,0.07778,0.63636,0.12919,0.07481,0.76728,3.29544,1.31908,5.05352e-05,5.05352e-05,5.05352e-05
23,66.1577,1.01133,5.36627,1.96876,0.07778,0.63636,0.13048,0.08116,0.76119,3.29655,1.31215,4.04921e-05,4.04921e-05,4.04921e-05
24,68.9997,0.59564,4.91778,1.25384,0.07778,0.63636,0.13048,0.08116,0.76119,3.29655,1.31215,2.93174e-05,2.93174e-05,2.93174e-05
25,71.6797,0.60485,5.53372,1.47934,0.07955,0.63636,0.15176,0.09023,0.75741,3.29064,1.31236,1.70108e-05,1.70108e-05,1.70108e-05
