epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.73935,1.94861,10.2031,2.15992,0.03323,1,0.22552,0.16277,0.59289,3.15988,1.12584,0,0,0
2,5.68054,1.29775,4.28312,1.81888,0.03303,1,0.23129,0.16157,0.59497,3.16331,1.12951,1.40071e-05,1.40071e-05,1.40071e-05
3,8.55666,2.06975,6.01472,2.30399,0.03343,1,0.23097,0.15939,0.58475,3.16612,1.13346,2.74482e-05,2.74482e-05,2.74482e-05
4,11.2402,1.46224,8.01525,1.94482,0.03416,1,0.24843,0.1587,0.56817,3.17037,1.12887,4.03235e-05,4.03235e-05,4.03235e-05
5,13.9341,1.91254,4.56689,2.415,0.03406,1,0.26539,0.16841,0.56733,3.16948,1.12415,5.26329e-05,5.26329e-05,5.26329e-05
6,16.7214,0.84469,9.49364,1.79233,0.0356,1,0.25684,0.15642,0.58034,3.16569,1.11776,6.43764e-05,6.43764e-05,6.43764e-05
7,19.5632,1.78718,5.06912,2.12023,0.03654,1,0.28088,0.16474,0.59697,3.16091,1.11379,7.55541e-05,7.55541e-05,7.55541e-05
8,22.371,1.41177,4.18094,1.74768,0.0378,1,0.24498,0.14402,0.61418,3.15686,1.12427,8.61658e-05,8.61658e-05,8.61658e-05
9,25.2525,1.50912,3.85259,1.84517,0.04198,1,0.26998,0.16946,0.62306,3.16278,1.12996,9.62117e-05,9.62117e-05,9.62117e-05
10,28.1039,1.35885,4.84167,1.84707,0.04783,1,0.24339,0.15548,0.64683,3.17013,1.1351,0.000105692,0.000105692,0.000105692
11,30.9702,0.99535,4.77575,1.53142,0.05473,1,0.24401,0.1433,0.63642,3.19913,1.11802,0.000114606,0.000114606,0.000114606
12,33.8936,1.45774,4.22391,2.12175,0.06077,1,0.19899,0.11692,0.68165,3.21414,1.16103,0.000122954,0.000122954,0.000122954
13,36.6898,1.08168,4.49746,1.55939,0.05844,0.81818,0.15056,0.08898,0.75288,3.26539,1.25012,0.000130736,0.000130736,0.000130736
14,39.505,0.90495,3.61722,1.41171,0.05645,0.63636,0.13594,0.08015,0.82852,3.3049,1.31558,0.000137953,0.000137953,0.000137953
15,42.317,0.84481,4.03603,1.45123,0.07368,0.63636,0.13708,0.07131,0.83922,3.31467,1.32553,0.000144603,0.000144603,0.000144603
16,45.2063,0.98618,4.7013,1.69755,0.075,0.54545,0.13646,0.06035,0.84089,3.33856,1.29253,0.000150688,0.000150688,0.000150688
17,48.3797,1.0849,3.64752,1.61649,0.08696,0.54545,0.11164,0.04799,0.84098,3.34529,1.28727,0.000156207,0.000156207,0.000156207
18,51.0667,1.10516,4.19437,1.67826,0.08696,0.54545,0.11164,0.04799,0.84098,3.34529,1.28727,0.00016116,0.00016116,0.00016116
19,53.9887,0.96026,3.30141,1.51375,0.08451,0.54545,0.10625,0.05335,0.94341,3.34714,1.35024,0.000165547,0.000165547,0.000165547
20,56.8029,0.95908,3.77783,1.37406,0.08451,0.54545,0.10625,0.05335,0.94341,3.34714,1.35024,0.000169368,0.000169368,0.000169368
